Player Name,Titles Won,Years
Roy Emerson,8,"1959, 1960, 1961, 1962, 1964, 1965, 1966, 1967
"
Stan Smith,8,"1968,	1969,	1970,	1971,	1972,	1978, 1979, 1981
"
Bill Tilden,7,"1920, 1921,	1922,	1923,	1924,	1925, 1926
"
Bill Johnston,7,"1920, 1921,	1922,	1923,	1924,	1925, 1926
"
Norris Williams,7,"1913, 1920, 1921, 1922, 1923, 1925, 1926
"
Neale Fraser,7,"1955,	1956,	1957,	1959,	1960,	1961,						1962
"
Henri Cochet,6,"1927,	1928,	1929,	1930,	1931,	1932,
"
Jean Borotra,6,"1927,	1928,	1929,	1930,	1931,	1932,
"
John Newcombe,6,"1964,	1965,	1966,	1967, 1973, 1977
"
Bob Lutz,6,"1968, 1969,	1970, 1978, 1979, 1981
"
"<span class=""mw-image-border"" typeof=""mw:File""><a href=""/wiki/Australia"" title=""Australia""><img alt=""Australia"" class=""mw-file-element"" data-file-height=""640"" data-file-width=""1280"" decoding=""async"" height=""12"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/23px-Flag_of_Australia_%28converted%29.svg.png"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/35px-Flag_of_Australia_%28converted%29.svg.png 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/46px-Flag_of_Australia_%28converted%29.svg.png 2x"" width=""23""/></a></span>",5,"1907, 1908, 1909,	1914, 1919
"
Jacques Brugnon,5,"1927,	1928, 1930, 1931, 1932,
"
Frank Parker,5,"1937,	1939,	1946,	1947,	1948
"
Rod Laver,5,"1959, 1960, 1961, 1962, 1973
"
Tony Roche,5,"1964,	1965,	1966,	1967, 1977
"
John McEnroe,5,"1978,	1979, 1981, 1982, 1992
"
Feliciano López,5,"2004, 2008, 2009, 2011, 2019
"
Rafael Nadal,5,"2004, 2008, 2009, 2011, 2019
"
Reggie Doherty,4,"1903,	1904,	1905,	1906
"
Laurence Doherty,4,"1903,	1904,	1905,	1906
"
